starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
act:  [5.035141409018227, -2.634334828982442, -2.397]
est:  [3.1067577863902067, 5.889902146388667, 3.24316180829545]
act:  [4.937154686016846, -2.6212351299228973, -2.419]
est:  [2.9919198504424123, 5.882014526910138, 3.2101697388466]
act:  [4.840723217286978, -2.6107008127356934, -2.443]
est:  [2.86231711593668, 5.875529853905351, 3.1915859633835564]
act:  [4.743618330156559, -2.60291358631106, -2.463]
est:  [2.7313733155268958, 5.8728257636313375, 3.1622404885661517]
act:  [4.647031861116644, -2.595981487177207, -2.485]
est:  [2.584073884286415, 5.872706850067829, 3.142399944810639]
act:  [4.571385281996281, -2.59272648066621, -2.4979999999999998]
est:  [2.548539122629049, 5.8730116180224154, 3.1330162493038785]
act:  [4.47360697646531, -2.5876863450041463, -2.5]
est:  [2.5007782583817386, 5.874084976880214, 3.1191228297110913]
act:  [4.345637381126248, -2.581069497661427, -2.488]
est:  [2.3989403714874067, 5.874514064850178, 3.13737923711126]
act:  [4.242674894690231, -2.567478089091558, -2.428]
est:  [2.3806995712938654, 5.873871287329201, 3.176816528432743]
act:  [4.122658028427928, -2.5373292613767644, -2.3369999999999997]
